Fid,Line,E_Nad83,N_Nad83,Lon,Lat,Alt,Height,DEM,Date,Time,Base_Mag,Diurnal,Mag_Filt,Mag_Raw,TMI,RMF,igrf,inc,dec
833893.1,106801,689674.706085261,447552.521599098,-87.86635603989,44.4813570997442,286.687427520848,47.8704042902025,238.817023230646,2021/01/27,15:38:13,-9999.99,-6.74742009717663,54771.7736365073,54771.6221,54778.5210566044,310.19021157809,54468.3308450264,70.865469357927,-4.36568211640735
833913.1,106801,690112.657071015,447323.269526186,-87.8609280536615,44.4791916556755,280.501098051478,42.3062734506857,238.194824600792,2021/01/27,15:38:33,-9999.99,-6.82458280564366,54761.2083822189,54761.1625723358,54768.0329650246,300.667671666735,54467.3652933578,70.8636500473039,-4.36967819070996
833933.1,106801,690576.726380518,447134.019963504,-87.8551591045139,44.4773796754738,283.505010098797,45.0740403476601,238.430969751136,2021/01/27,15:38:53,-9999.99,-6.92919902155762,54770.0062159121,54769.9457697154,54776.9354149337,310.660548344335,54466.2748665894,70.8620648556298,-4.37399918899483
833953.1,106801,691060.420680707,446950.47250558,-87.8491420514161,44.4756140632047,291.673126357407,51.4589785948404,240.214147762566,2021/01/27,15:39:13,-9999.99,-6.96967419615554,54794.6231880253,54794.7196,54801.5928622215,336.544773094713,54465.0480891268,70.8604974275682,-4.37852222192416
833973.1,106801,691522.838297684,446809.091536336,-87.843378723485,44.4742325360101,288.363036621329,48.2754624012224,240.087574220107,2021/01/27,15:39:33,-9999.99,-6.84609023777494,54796.4867905027,54796.4779,54803.3328807405,339.0191240368,54464.3137567037,70.8592305814061,-4.38291567255387
833993.1,106801,691985.267292285,446610.878000202,-87.8376344230677,44.4723394350407,290.403598115936,49.4296523671928,240.973945748743,2021/01/27,15:39:53,-9999.99,-6.75603431277665,54796.9835216125,54796.9668987888,54803.7395559253,340.523108832713,54463.2164470925,70.857586773019,-4.38720267266645
834013.1,106801,692423.276172535,446378.357703298,-87.8322087374112,44.4701432435748,287.773795359629,43.8482504019204,243.925544957709,2021/01/27,15:40:13,-9999.99,-6.85847631537493,54754.085464023,54754.106082431,54760.9439403384,298.807123147475,54462.1368171909,70.8557399798458,-4.39118650657411
834033.1,106801,692828.720007517,446148.777244368,-87.8271915997901,44.4679810362224,283.08136813422,34.169336861822,248.912031272398,2021/01/27,15:40:33,-9999.99,-6.96799028340258,54704.5413591866,54704.5571,54711.50934947,250.362771652508,54461.1465778175,70.8539379503232,-4.39484973092276
834053.1,106801,693229.784250883,445996.586440779,-87.8222039591027,44.4665158817842,284.079012769766,32.1700589884321,251.908953781334,2021/01/27,15:40:53,-9999.99,-6.93759637269243,54696.7068288691,54696.7527,54703.6444252417,243.355219738703,54460.289205503,70.8526403850284,-4.398601691728
834073.1,106801,693644.063493209,445836.323163426,-87.8170532717207,44.4649747179698,293.845635681601,37.2436593528988,256.601976328702,2021/01/27,15:41:13,-9999.99,-6.86915044765894,54699.9946623365,54700.1283618147,54706.8638127841,247.716624229382,54459.1471885547,70.8512723034136,-4.4024637696463
834093.1,106801,694072.754530095,445677.264952173,-87.8117214178345,44.4634406977362,288.49748500956,30.145402873825,258.352082135735,2021/01/27,15:41:33,-9999.99,-6.93393563929175,54712.2588424017,54712.2137166362,54719.192778041,260.769629504706,54458.4231485362,70.8499132562505,-4.40648483679291
834113.1,106801,694467.110982017,445455.547146047,-87.8068422610243,44.46135102344,293.426253214597,32.6551699144984,260.771083300099,2021/01/27,15:41:53,-9999.99,-6.98923718109556,54734.0597280279,54733.8734,54741.048965209,283.850265067827,54457.1987001411,70.8481610139905,-4.41003996921864
834133.1,106801,694857.501011188,445276.531499619,-87.8019988606541,44.4596462609865,302.275536128956,39.5467595774871,262.728776551469,2021/01/27,15:42:13,-9999.99,-6.86868044837986,54773.3400878959,54773.2067,54780.2087683442,324.182142597907,54456.0266257463,70.8466874758453,-4.41362771429061
834153.1,106801,695235.560433105,445137.596831522,-87.7972970663016,44.4583048599172,295.311912583324,25.4073926919103,269.904519891414,2021/01/27,15:42:33,-9999.99,-6.76956686361485,54836.6617260799,54836.7425,54843.4312929435,387.9762333787,54455.4550595648,70.8454981875306,-4.41717650835133
834173.1,106801,695607.102630281,445135.045570653,-87.7926311073919,44.4581917698796,301.530328803864,31.0373569133328,270.492971890531,2021/01/27,15:42:53,-9999.99,-6.75566202248547,54818.8951783401,54818.9378087719,54825.6508403626,370.621687329127,54455.0291530335,70.845194963439,-4.42089257118165
834193.1,106801,696001.720932931,444957.161446416,-87.7877349096134,44.4564955672157,305.711754239018,32.7878389287676,272.923915310251,2021/01/27,15:43:13,-9999.99,-6.69386311053333,54857.4383777271,54857.5437,54864.1322408376,410.143915647073,54453.9883251906,70.8437281420883,-4.42452714355298
834213.1,106801,696478.488717154,444730.654318416,-87.7818237845252,44.4543417026499,313.24612631129,33.8312623545167,279.414863956773,2021/01/27,15:43:33,-9999.99,-6.69517218636831,54794.9029371988,54794.863938735,54801.5981093852,348.980643577226,54452.617465808,70.8418774184814,-4.42889458633401
834233.1,106801,696993.994528832,444491.216908369,-87.7754310017637,44.4520617399269,316.735526996091,37.5424660155048,279.193060980586,2021/01/27,15:43:53,-9999.99,-6.86984098224876,54687.0776102238,54687.013,54693.9474512061,242.661907315109,54451.285543891,70.8399152147258,-4.43362967721125
